category,term.ID,term.description,observed.gene.count,background.gene.count,strength,signal,false.discovery.rate,matching.proteins.in.your.network..IDs.,matching.proteins.in.your.network..labels.
GO Process,GO:0010647,Positive regulation of cell communication,39,1693,0.66,1.32,2.17E-14,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000216037,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000246657,9606.ENSP00000260010,9606.ENSP00000264832,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000292301,9606.ENSP00000294507,9606.ENSP00000301633,9606.ENSP00000306157,9606.ENSP00000312999,9606.ENSP00000320147,9606.ENSP00000320176,9606.ENSP00000332049,9606.ENSP00000356694,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000371067,9606.ENSP00000376500,9606.ENSP00000380697,9606.ENSP00000386884,9606.ENSP00000391592,9606.ENSP00000398632,9606.ENSP00000398698,9606.ENSP00000403701,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000433138,9606.ENSP00000477713,9606.ENSP00000498321","CD74,CD4,XBP1,TGFB1,NFKB1,CCR7,TLR2,ICAM1,ZAP70,CD27,ATM,CSF1R,CCR2,LAPTM5,BIRC5,IL7R,GNAI2,EZH2,HCLS1,CD86,FASLG,PTEN,CD40,TLR4,FGR,SYK,JAK2,TRAF3,IRF7,CXCR4,PTPN6,CD44,TNF,ARRB2,PTPRC,LYN,CASP1,LCK,MYD88"
GO Process,GO:1902107,Positive regulation of leukocyte differentiation,17,181,1.27,2.7,2.17E-14,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000216037,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000262629,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000306157,9606.ENSP00000320176,9606.ENSP00000332049,9606.ENSP00000364898,9606.ENSP00000375629,9606.ENSP00000398698,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000483570","CD74,CD4,XBP1,TGFB1,IFNG,TYROBP,ZAP70,CD27,IL7R,HCLS1,CD86,SYK,LILRB2,TNF,INPP5D,PTPRC,BTK"
GO Process,GO:0023056,Positive regulation of signaling,39,1698,0.66,1.31,2.35E-14,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000216037,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000246657,9606.ENSP00000260010,9606.ENSP00000264832,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000292301,9606.ENSP00000294507,9606.ENSP00000301633,9606.ENSP00000306157,9606.ENSP00000312999,9606.ENSP00000320147,9606.ENSP00000320176,9606.ENSP00000332049,9606.ENSP00000356694,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000371067,9606.ENSP00000376500,9606.ENSP00000380697,9606.ENSP00000386884,9606.ENSP00000391592,9606.ENSP00000398632,9606.ENSP00000398698,9606.ENSP00000403701,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000433138,9606.ENSP00000477713,9606.ENSP00000498321","CD74,CD4,XBP1,TGFB1,NFKB1,CCR7,TLR2,ICAM1,ZAP70,CD27,ATM,CSF1R,CCR2,LAPTM5,BIRC5,IL7R,GNAI2,EZH2,HCLS1,CD86,FASLG,PTEN,CD40,TLR4,FGR,SYK,JAK2,TRAF3,IRF7,CXCR4,PTPN6,CD44,TNF,ARRB2,PTPRC,LYN,CASP1,LCK,MYD88"
GO Process,GO:0048523,Negative regulation of cellular process,63,4736,0.42,0.88,2.59E-14,"9606.ENSP00000009530,9606.ENSP00000209728,9606.ENSP00000216037,9606.ENSP00000216341,9606.ENSP00000216911,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000229135,9606.ENSP00000234313,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000264832,9606.ENSP00000266557,9606.ENSP00000268638,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000292301,9606.ENSP00000292303,9606.ENSP00000294507,9606.ENSP00000301633,9606.ENSP00000305651,9606.ENSP00000306157,9606.ENSP00000311032,9606.ENSP00000312999,9606.ENSP00000320147,9606.ENSP00000320176,9606.ENSP00000331614,9606.ENSP00000332049,9606.ENSP00000352516,9606.ENSP00000354394,9606.ENSP00000356694,9606.ENSP00000357113,9606.ENSP00000357123,9606.ENSP00000361021,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000365012,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000376436,9606.ENSP00000378699,9606.ENSP00000379873,9606.ENSP00000380697,9606.ENSP00000380948,9606.ENSP00000391592,9606.ENSP00000398632,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000403701,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000418960,9606.ENSP00000428924,9606.ENSP00000434024,9606.ENSP00000477713,9606.ENSP00000483570,9606.ENSP00000496959,9606.ENSP00000497102,9606.ENSP00000498321","CD74,CDC6,XBP1,GZMB,AURKA,CORO1A,TGFB1,NFKB1,IFNG,PLEK,IRF1,CCR7,TLR2,TYROBP,ICAM1,CD27,IRF8,ATM,CSF1R,CCR2,CCR5,LAPTM5,BIRC5,CXCL10,IL7R,CASP3,GNAI2,EZH2,HCLS1,IKZF1,CD86,DNMT1,STAT1,FASLG,IFI16,MNDA,PTEN,TLR4,FGR,HCK,IRF4,JAK2,LILRB2,ETS1,CDK1,HLA-A,IRF7,ITGB2,PTPN6,CD44,TNF,HLA-B,ARRB2,INPP5D,PTPRC,BRCA1,LYN,H2AX,LCK,BTK,ITGAM,CTLA4,MYD88"
GO Process,GO:0032675,Regulation of interleukin-6 production,16,151,1.32,2.79,2.99E-14,"9606.ENSP00000009530,9606.ENSP00000216037,9606.ENSP00000229135,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000312082,9606.ENSP00000363089,9606.ENSP00000364898,9606.ENSP00000375629,9606.ENSP00000391592,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000403701,9606.ENSP00000405338,9606.ENSP00000483570,9606.ENSP00000498321","CD74,XBP1,IFNG,TLR2,TYROBP,TLR8,TLR4,SYK,LILRB2,PTPN6,TNF,HLA-B,ARRB2,INPP5D,BTK,MYD88"
GO Process,GO:0050789,Regulation of biological process,95,11655,0.21,0.59,3.02E-14,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000046794,9606.ENSP00000209728,9606.ENSP00000216037,9606.ENSP00000216341,9606.ENSP00000216911,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000229135,9606.ENSP00000234313,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000249071,9606.ENSP00000256442,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000264832,9606.ENSP00000264972,9606.ENSP00000265748,9606.ENSP00000266557,9606.ENSP00000268638,9606.ENSP00000271450,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000289902,9606.ENSP00000292301,9606.ENSP00000292303,9606.ENSP00000294507,9606.ENSP00000300692,9606.ENSP00000301633,9606.ENSP00000305651,9606.ENSP00000306157,9606.ENSP00000311032,9606.ENSP00000312082,9606.ENSP00000312999,9606.ENSP00000320147,9606.ENSP00000320176,9606.ENSP00000331614,9606.ENSP00000332049,9606.ENSP00000341208,9606.ENSP00000352516,9606.ENSP00000354394,9606.ENSP00000354782,9606.ENSP00000356694,9606.ENSP00000356946,9606.ENSP00000357113,9606.ENSP00000357123,9606.ENSP00000357643,9606.ENSP00000357981,9606.ENSP00000358490,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000363993,9606.ENSP00000364016,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000367851,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000376436,9606.ENSP00000376500,9606.ENSP00000378699,9606.ENSP00000379873,9606.ENSP00000380697,9606.ENSP00000380921,9606.ENSP00000380948,9606.ENSP00000386559,9606.ENSP00000386884,9606.ENSP00000391592,9606.ENSP00000398632,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000403701,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000418960,9606.ENSP00000428924,9606.ENSP00000429283,9606.ENSP00000433138,9606.ENSP00000434024,9606.ENSP00000469613,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000481380,9606.ENSP00000483570,9606.ENSP00000484431,9606.ENSP00000496959,9606.ENSP00000497102,9606.ENSP00000498321","CD74,CD4,LCP2,CDC6,XBP1,GZMB,AURKA,CORO1A,TGFB1,NFKB1,IFNG,PLEK,IRF1,CCR7,RAC2,CCNB1,TLR2,TYROBP,ICAM1,ZAP70,ANLN,CD27,IRF8,FCGR2A,ATM,CSF1R,FCER1G,CCR2,CCR5,LAPTM5,CD3D,BIRC5,CXCL10,IL7R,CASP3,TLR8,GNAI2,EZH2,HCLS1,IKZF1,CD86,STAT5A,DNMT1,STAT1,CD247,FASLG,FCGR3A,IFI16,MNDA,MKI67,CTSS,CD2,PTEN,CD40,TLR4,FGR,PSMB9,PSMB8,SYK,HCK,CYBB,IRF4,JAK2,LILRB2,ETS1,TRAF3,CDK1,HLA-A,IRF7,SH3KBP1,ITGB2,CD8A,CXCR4,PTPN6,CD44,TNF,HLA-B,ARRB2,INPP5D,PTPRC,BRCA1,LYN,DOCK2,CASP1,H2AX,FLT3LG,VAV1,LCK,LOC102723407,CCNA2,BTK,CD48,ITGAM,CTLA4,MYD88"
GO Process,GO:0032496,Response to lipopolysaccharide,20,314,1.1,2.3,3.94E-14,"9606.ENSP00000216037,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000246657,9606.ENSP00000260010,9606.ENSP00000268638,9606.ENSP00000292303,9606.ENSP00000305651,9606.ENSP00000311032,9606.ENSP00000332049,9606.ENSP00000356694,9606.ENSP00000363089,9606.ENSP00000365012,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000398698,9606.ENSP00000428924,9606.ENSP00000433138,9606.ENSP00000483570,9606.ENSP00000498321","XBP1,TGFB1,NFKB1,CCR7,TLR2,IRF8,CCR5,CXCL10,CASP3,CD86,FASLG,TLR4,HCK,JAK2,LILRB2,TNF,LYN,CASP1,BTK,MYD88"
GO Process,GO:0050790,Regulation of catalytic activity,45,2370,0.57,1.14,4.28E-14,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000046794,9606.ENSP00000209728,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000229135,9606.ENSP00000234313,9606.ENSP00000246657,9606.ENSP00000249071,9606.ENSP00000256442,9606.ENSP00000266557,9606.ENSP00000286301,9606.ENSP00000292301,9606.ENSP00000294507,9606.ENSP00000301633,9606.ENSP00000305651,9606.ENSP00000311032,9606.ENSP00000312999,9606.ENSP00000320147,9606.ENSP00000332049,9606.ENSP00000356694,9606.ENSP00000357113,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000363993,9606.ENSP00000364016,9606.ENSP00000364898,9606.ENSP00000371067,9606.ENSP00000380948,9606.ENSP00000391592,9606.ENSP00000398632,9606.ENSP00000398698,9606.ENSP00000403701,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000429283,9606.ENSP00000433138,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000481380,9606.ENSP00000483570,9606.ENSP00000496959","CD74,CD4,LCP2,CDC6,TGFB1,NFKB1,IFNG,PLEK,CCR7,RAC2,CCNB1,CD27,CSF1R,CCR2,LAPTM5,BIRC5,CXCL10,CASP3,GNAI2,EZH2,CD86,FASLG,IFI16,PTEN,CD40,TLR4,FGR,PSMB9,PSMB8,SYK,JAK2,ITGB2,PTPN6,CD44,TNF,ARRB2,PTPRC,LYN,DOCK2,CASP1,VAV1,LCK,CCNA2,BTK,ITGAM"
GO Process,GO:0009966,Regulation of signal transduction,50,2978,0.52,1.04,5.05E-14,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000216037,9606.ENSP00000216911,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000229135,9606.ENSP00000234313,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000256442,9606.ENSP00000260010,9606.ENSP00000264832,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000292301,9606.ENSP00000294507,9606.ENSP00000301633,9606.ENSP00000306157,9606.ENSP00000312999,9606.ENSP00000320147,9606.ENSP00000320176,9606.ENSP00000332049,9606.ENSP00000354394,9606.ENSP00000356694,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000376500,9606.ENSP00000380697,9606.ENSP00000386884,9606.ENSP00000391592,9606.ENSP00000398632,9606.ENSP00000398698,9606.ENSP00000403701,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000418960,9606.ENSP00000428924,9606.ENSP00000429283,9606.ENSP00000433138,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000498321","CD74,CD4,XBP1,AURKA,TGFB1,NFKB1,IFNG,PLEK,IRF1,CCR7,CCNB1,TLR2,ICAM1,ZAP70,CD27,ATM,CSF1R,CCR2,LAPTM5,BIRC5,IL7R,GNAI2,EZH2,HCLS1,CD86,STAT1,FASLG,PTEN,CD40,TLR4,FGR,SYK,IRF4,JAK2,TRAF3,IRF7,CXCR4,PTPN6,CD44,TNF,ARRB2,INPP5D,PTPRC,BRCA1,LYN,DOCK2,CASP1,VAV1,LCK,MYD88"
GO Process,GO:0071216,Cellular response to biotic stimulus,18,232,1.18,2.48,5.43E-14,"9606.ENSP00000216037,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000260010,9606.ENSP00000268638,9606.ENSP00000292303,9606.ENSP00000305651,9606.ENSP00000332049,9606.ENSP00000363089,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000398698,9606.ENSP00000428924,9606.ENSP00000433138,9606.ENSP00000483570,9606.ENSP00000498321","XBP1,TGFB1,NFKB1,TLR2,IRF8,CCR5,CXCL10,CD86,TLR4,SYK,HCK,JAK2,LILRB2,TNF,LYN,CASP1,BTK,MYD88"
GO Process,GO:0032879,Regulation of localization,42,2103,0.59,1.17,1.17E-13,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000216037,9606.ENSP00000216341,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000229135,9606.ENSP00000246657,9606.ENSP00000249071,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000289902,9606.ENSP00000292301,9606.ENSP00000292303,9606.ENSP00000301633,9606.ENSP00000305651,9606.ENSP00000312999,9606.ENSP00000320176,9606.ENSP00000354782,9606.ENSP00000356694,9606.ENSP00000357981,9606.ENSP00000361021,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000367851,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000378699,9606.ENSP00000380948,9606.ENSP00000386884,9606.ENSP00000391592,9606.ENSP00000398698,9606.ENSP00000403701,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000429283,9606.ENSP00000477713,9606.ENSP00000483570,9606.ENSP00000496959","CD74,CD4,XBP1,GZMB,CORO1A,TGFB1,NFKB1,IFNG,CCR7,RAC2,TLR2,TYROBP,FCER1G,CCR2,CCR5,BIRC5,CXCL10,GNAI2,HCLS1,CD247,FASLG,CTSS,PTEN,TLR4,FGR,SYK,HCK,CYBB,JAK2,LILRB2,CDK1,ITGB2,CXCR4,PTPN6,TNF,ARRB2,PTPRC,LYN,DOCK2,LCK,BTK,ITGAM"
GO Process,GO:1903557,Positive regulation of tumor necrosis factor superfamily cytokine production,14,105,1.42,2.88,1.24E-13,"9606.ENSP00000229135,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000292301,9606.ENSP00000332049,9606.ENSP00000356946,9606.ENSP00000358490,9606.ENSP00000363089,9606.ENSP00000364898,9606.ENSP00000367851,9606.ENSP00000371067,9606.ENSP00000411355,9606.ENSP00000483570,9606.ENSP00000498321","IFNG,TLR2,TYROBP,CCR2,CD86,FCGR3A,CD2,TLR4,SYK,CYBB,JAK2,PTPRC,BTK,MYD88"
GO Process,GO:1903555,Regulation of tumor necrosis factor superfamily cytokine production,16,169,1.27,2.6,1.39E-13,"9606.ENSP00000229135,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000292301,9606.ENSP00000332049,9606.ENSP00000356946,9606.ENSP00000358490,9606.ENSP00000363089,9606.ENSP00000364898,9606.ENSP00000367851,9606.ENSP00000371067,9606.ENSP00000391592,9606.ENSP00000403701,9606.ENSP00000411355,9606.ENSP00000483570,9606.ENSP00000498321","IFNG,TLR2,TYROBP,CCR2,CD86,FCGR3A,CD2,TLR4,SYK,CYBB,JAK2,PTPN6,ARRB2,PTPRC,BTK,MYD88"
GO Process,GO:0030217,T cell differentiation,16,171,1.27,2.58,1.64E-13,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000221930,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000264972,9606.ENSP00000289902,9606.ENSP00000300692,9606.ENSP00000306157,9606.ENSP00000364898,9606.ENSP00000370343,9606.ENSP00000386559,9606.ENSP00000411355,9606.ENSP00000429283,9606.ENSP00000472929,9606.ENSP00000477713","CD74,CD4,TGFB1,IRF1,CCR7,ZAP70,FCER1G,CD3D,IL7R,SYK,IRF4,CD8A,PTPRC,DOCK2,VAV1,LCK"
GO Process,GO:0031349,Positive regulation of defense response,19,296,1.1,2.24,1.88E-13,"9606.ENSP00000229135,9606.ENSP00000246657,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000292301,9606.ENSP00000312082,9606.ENSP00000357113,9606.ENSP00000357123,9606.ENSP00000363089,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000371067,9606.ENSP00000376436,9606.ENSP00000380697,9606.ENSP00000398698,9606.ENSP00000428924,9606.ENSP00000433138,9606.ENSP00000472929,9606.ENSP00000483570","IFNG,CCR7,TLR2,TYROBP,CCR2,TLR8,IFI16,MNDA,TLR4,SYK,HCK,JAK2,ETS1,IRF7,TNF,LYN,CASP1,VAV1,BTK"
GO Process,GO:0010646,Regulation of cell communication,52,3355,0.48,0.97,2.22E-13,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000216037,9606.ENSP00000216911,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000229135,9606.ENSP00000234313,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000256442,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000264832,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000292301,9606.ENSP00000294507,9606.ENSP00000301633,9606.ENSP00000306157,9606.ENSP00000312999,9606.ENSP00000320147,9606.ENSP00000320176,9606.ENSP00000332049,9606.ENSP00000354394,9606.ENSP00000356694,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000376500,9606.ENSP00000380697,9606.ENSP00000386884,9606.ENSP00000391592,9606.ENSP00000398632,9606.ENSP00000398698,9606.ENSP00000403701,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000418960,9606.ENSP00000428924,9606.ENSP00000429283,9606.ENSP00000433138,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000498321","CD74,CD4,XBP1,AURKA,TGFB1,NFKB1,IFNG,PLEK,IRF1,CCR7,CCNB1,TLR2,TYROBP,ICAM1,ZAP70,CD27,ATM,CSF1R,CCR2,LAPTM5,BIRC5,IL7R,GNAI2,EZH2,HCLS1,CD86,STAT1,FASLG,PTEN,CD40,TLR4,FGR,SYK,IRF4,JAK2,LILRB2,TRAF3,IRF7,CXCR4,PTPN6,CD44,TNF,ARRB2,INPP5D,PTPRC,BRCA1,LYN,DOCK2,CASP1,VAV1,LCK,MYD88"
GO Process,GO:0050794,Regulation of cellular process,92,11025,0.22,0.59,2.47E-13,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000046794,9606.ENSP00000209728,9606.ENSP00000216037,9606.ENSP00000216341,9606.ENSP00000216911,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000229135,9606.ENSP00000234313,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000249071,9606.ENSP00000256442,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000264832,9606.ENSP00000264972,9606.ENSP00000265748,9606.ENSP00000266557,9606.ENSP00000268638,9606.ENSP00000271450,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000289902,9606.ENSP00000292301,9606.ENSP00000292303,9606.ENSP00000294507,9606.ENSP00000300692,9606.ENSP00000301633,9606.ENSP00000305651,9606.ENSP00000306157,9606.ENSP00000311032,9606.ENSP00000312082,9606.ENSP00000312999,9606.ENSP00000320147,9606.ENSP00000320176,9606.ENSP00000331614,9606.ENSP00000332049,9606.ENSP00000341208,9606.ENSP00000352516,9606.ENSP00000354394,9606.ENSP00000354782,9606.ENSP00000356694,9606.ENSP00000356946,9606.ENSP00000357113,9606.ENSP00000357123,9606.ENSP00000357643,9606.ENSP00000357981,9606.ENSP00000358490,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000367851,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000376436,9606.ENSP00000376500,9606.ENSP00000378699,9606.ENSP00000379873,9606.ENSP00000380697,9606.ENSP00000380921,9606.ENSP00000380948,9606.ENSP00000386559,9606.ENSP00000386884,9606.ENSP00000391592,9606.ENSP00000398632,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000403701,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000418960,9606.ENSP00000428924,9606.ENSP00000429283,9606.ENSP00000433138,9606.ENSP00000434024,9606.ENSP00000469613,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000481380,9606.ENSP00000483570,9606.ENSP00000496959,9606.ENSP00000497102,9606.ENSP00000498321","CD74,CD4,LCP2,CDC6,XBP1,GZMB,AURKA,CORO1A,TGFB1,NFKB1,IFNG,PLEK,IRF1,CCR7,RAC2,CCNB1,TLR2,TYROBP,ICAM1,ZAP70,ANLN,CD27,IRF8,FCGR2A,ATM,CSF1R,FCER1G,CCR2,CCR5,LAPTM5,CD3D,BIRC5,CXCL10,IL7R,CASP3,TLR8,GNAI2,EZH2,HCLS1,IKZF1,CD86,STAT5A,DNMT1,STAT1,CD247,FASLG,FCGR3A,IFI16,MNDA,MKI67,CTSS,CD2,PTEN,CD40,TLR4,FGR,SYK,HCK,CYBB,IRF4,JAK2,LILRB2,ETS1,TRAF3,CDK1,HLA-A,IRF7,SH3KBP1,ITGB2,CD8A,CXCR4,PTPN6,CD44,TNF,HLA-B,ARRB2,INPP5D,PTPRC,BRCA1,LYN,DOCK2,CASP1,H2AX,FLT3LG,VAV1,LCK,LOC102723407,CCNA2,BTK,ITGAM,CTLA4,MYD88"
GO Process,GO:0023051,Regulation of signaling,52,3367,0.48,0.97,2.55E-13,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000216037,9606.ENSP00000216911,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000229135,9606.ENSP00000234313,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000256442,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000264832,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000292301,9606.ENSP00000294507,9606.ENSP00000301633,9606.ENSP00000306157,9606.ENSP00000312999,9606.ENSP00000320147,9606.ENSP00000320176,9606.ENSP00000332049,9606.ENSP00000354394,9606.ENSP00000356694,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000376500,9606.ENSP00000380697,9606.ENSP00000386884,9606.ENSP00000391592,9606.ENSP00000398632,9606.ENSP00000398698,9606.ENSP00000403701,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000418960,9606.ENSP00000428924,9606.ENSP00000429283,9606.ENSP00000433138,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000498321","CD74,CD4,XBP1,AURKA,TGFB1,NFKB1,IFNG,PLEK,IRF1,CCR7,CCNB1,TLR2,TYROBP,ICAM1,ZAP70,CD27,ATM,CSF1R,CCR2,LAPTM5,BIRC5,IL7R,GNAI2,EZH2,HCLS1,CD86,STAT1,FASLG,PTEN,CD40,TLR4,FGR,SYK,IRF4,JAK2,LILRB2,TRAF3,IRF7,CXCR4,PTPN6,CD44,TNF,ARRB2,INPP5D,PTPRC,BRCA1,LYN,DOCK2,CASP1,VAV1,LCK,MYD88"
GO Process,GO:0045580,Regulation of T cell differentiation,16,178,1.25,2.52,2.84E-13,"9606.ENSP00000009530,9606.ENSP00000216037,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000245414,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000292301,9606.ENSP00000306157,9606.ENSP00000332049,9606.ENSP00000358490,9606.ENSP00000364898,9606.ENSP00000370343,9606.ENSP00000375629,9606.ENSP00000411355,9606.ENSP00000497102","CD74,XBP1,TGFB1,IFNG,IRF1,ZAP70,CD27,CCR2,IL7R,CD86,CD2,SYK,IRF4,LILRB2,PTPRC,CTLA4"
