"Disease_Code","Disease_Name","Name","Source","P_value","FDR_Bonferroni","FDR_BH","FDR_BY","Query_Hits","Genome_Hits","Hits"
"C0023434","C0023434","Chronic Lymphocytic Leukemia","DisGeNET Curated",3.57e-05,0.0784,0.000499,0.00413,4,55,"BIRC3,IRF4,CD5,BTK"
"C0024117","C0024117","Chronic Obstructive Airway Disease","DisGeNET Curated",0.0055,1,0.0178,0.147,2,33,"CD8A,TNF"
"DOID:3083","DOID:3083 (is_marker_for)","chronic obstructive pulmonary disease (is_marker_for)","AllianceGenome",1.12e-12,2.46e-09,3.08e-10,2.55e-09,10,97,"CXCL10,CD86,GZMA,GZMB,CXCL9,CCL4,CCL5,CCR5,TNF,CTLA4"
"DOID:11656","DOID:11656 (is_marker_for)","cicatricial pemphigoid (is_marker_for)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"TNF"
"DOID:13767","DOID:13767 (biomarker_via_orthology)","clonorchiasis (biomarker_via_orthology)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"FASLG"
"DOID:5463","DOID:5463 (biomarker_via_orthology)","cochlear disease (biomarker_via_orthology)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"TNF"
"C0009319","C0009319","Colitis","DisGeNET Curated",0.00318,1,0.0113,0.0932,2,25,"IFNG,TNF"
"DOID:1520","DOID:1520 (implicated_via_orthology)","colon carcinoma (implicated_via_orthology)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"PRF1"
"C0009375","C0009375","Colonic Neoplasms","DisGeNET Curated",0.00174,1,0.0109,0.0899,4,152,"TNFRSF9,CXCL10,IFNG,TNF"
"DOID:9256","DOID:9256 (implicated_via_orthology)","colorectal cancer (implicated_via_orthology)","AllianceGenome",0.00456,1,0.015,0.124,2,30,"LCK,HCK"
"DOID:0080199","DOID:0080199 (is_marker_for)","colorectal carcinoma (is_marker_for)","AllianceGenome",0.00688,1,0.0189,0.156,2,37,"PSMB9,CXCR4"
"C0494261","C0494261","Combined immunodeficiency","DisGeNET Curated",1.05e-12,2.31e-09,3.08e-10,2.55e-09,8,41,"LCK,ZAP70,STAT1,ITK,CORO1A,ICOS,CD27,CTLA4"
"CV:C5575025","cv:C5575025","Combined immunodeficiency due to ZAP70 deficiency","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"ZAP70"
"C0009447","C0009447","Common Variable Immunodeficiency","DisGeNET Curated",1.62e-05,0.0356,0.000274,0.00227,3,15,"IKZF1,ICOS,CTLA4"
"DOID:0081155","DOID:0081155 (is_implicated_in)","common variable immunodeficiency 13 (is_implicated_in)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"IKZF1"
"C0393734","C0393734","Complex Partial Status Epilepticus","DisGeNET Curated",7.77e-05,0.171,0.000919,0.0076,4,67,"CASP1,CCR2,TNF,CCR7"
"C0037926","C0037926","Compression of spinal cord","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"TNF"
"DOID:6000","DOID:6000 (implicated_via_orthology)","congestive heart failure (implicated_via_orthology)","AllianceGenome",0.00839,1,0.0229,0.189,2,41,"CXCR4,TNF"
"C2350875","C2350875","Constrictive Bronchiolitis","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"IFNG"
"C0011616","C0011616","Contact Dermatitis","DisGeNET Curated",0.0238,1,0.0446,0.369,2,71,"TLR8,CD86"
"C0162351","C0162351","Contact hypersensitivity","DisGeNET Curated",0.0238,1,0.0446,0.369,2,71,"TLR8,CD86"
"C0742803","C0742803","Conus Medullaris Syndrome","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"TNF"
"DOID:8515","DOID:8515 (is_marker_for)","Cor pulmonale (is_marker_for)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"TNF"
"DOID:10124","DOID:10124 (biomarker_via_orthology)","corneal disease (biomarker_via_orthology)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"CD86"
"DOID:8463","DOID:8463 (is_marker_for)","corneal ulcer (is_marker_for)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"TNF"
"DOID:3393","DOID:3393 (is_implicated_in)","coronary artery disease (is_implicated_in)","AllianceGenome",0.000365,0.803,0.00314,0.026,4,100,"NOD2,CCR2,FCGR3A,TNF"
"DOID:4247","DOID:4247 (is_marker_for)","coronary restenosis (is_marker_for)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"CXCL10"
"DOID:0080599","DOID:0080599 (implicated_via_orthology)","Coronavirus infectious disease (implicated_via_orthology)","AllianceGenome",0.000395,0.869,0.0033,0.0273,2,9,"CCR2,CCR5"
"DOID:0060019","DOID:0060019 (is_implicated_in)","coronin-1A deficiency (is_implicated_in)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"CORO1A"
"DOID:0080600","DOID:0080600 (is_marker_for)","COVID-19 (is_marker_for)","AllianceGenome",1.82e-16,4.01e-13,1.34e-13,1.11e-12,11,63,"CXCL10,IFNG,CD8A,BTK,GZMB,CXCL9,CCL4,CCL5,TNF,IL2RB,IL2RG"
"C0010246","C0010246","Coxsackievirus Infections","DisGeNET Curated",0.02,1,0.039,0.322,1,6,"TNF"
"C0010346","C0010346","Crohn Disease","DisGeNET Curated",2.44e-05,0.0536,0.000394,0.00326,4,50,"TAGAP,NOD2,IFNG,TNF"
"DOID:8778","DOID:8778 (is_implicated_in)","Crohn's disease (is_implicated_in)","AllianceGenome",3.06e-06,0.00672,8.61e-05,0.000713,4,30,"SELL,NOD2,FCGR3A,PRF1"
"C0156147","C0156147","Crohn's disease of large bowel","DisGeNET Curated",1.46e-05,0.0321,0.000255,0.00211,4,44,"TAGAP,NOD2,IFNG,TNF"
"C0267380","C0267380","Crohn's disease of the ileum","DisGeNET Curated",1.46e-05,0.0321,0.000255,0.00211,4,44,"TAGAP,NOD2,IFNG,TNF"
"DOID:2917","DOID:2917 (is_marker_for)","cryoglobulinemia (is_marker_for)","AllianceGenome",1.46e-07,0.000322,5.95e-06,4.93e-05,3,4,"CXCL10,CD86,TNF"
"C4728035","C4728035","CTLA4 deficiency","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"CTLA4"
"C4015214","C4015214","CTLA4 Haploinsufficiency","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"CTLA4"
"DOID:9111","DOID:9111 (is_implicated_in)","cutaneous leishmaniasis (is_implicated_in)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"CCR5"
"EFO_0020297","EFO_0020297","cyclin-dependent kinase 8:cyclin-c complex measurement","GWAS",0.02,1,0.039,0.322,1,6,"CXCL10"
"CV:C0555214","cv:C0555214","Cystic disease of lung","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"CCR2"
"DOID:1485","DOID:1485 (is_marker_for)","cystic fibrosis (is_marker_for)","AllianceGenome",5.73e-05,0.126,0.00075,0.0062,4,62,"FASLG,CXCL9,CCL4,TNF"
"EFO_0801513","EFO_0801513","cytochrome c oxidase assembly factor 3 homolog, mitochondrial measurement","GWAS",0.0265,1,0.0474,0.392,1,8,"CXCL10"
"C0010823","C0010823","Cytomegalovirus Infections","DisGeNET Curated",0.0067,1,0.0185,0.153,1,2,"STAT1"
"EFO_0020310","EFO_0020310","cytosolic non-specific dipeptidase measurement","GWAS",0.02,1,0.039,0.322,1,6,"CXCL10"
"C0750970","C0750970","Cytotoxic Brain Edema","DisGeNET Curated",0.0265,1,0.0474,0.392,1,8,"TNF"
"C0472388","C0472388","Cytotoxic Cerebral Edema","DisGeNET Curated",0.0265,1,0.0474,0.392,1,8,"TNF"
"DOID:3213","DOID:3213 (biomarker_via_orthology)","demyelinating disease (biomarker_via_orthology)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"CCR2"
"DOID:12205","DOID:12205 (is_marker_for)","dengue disease (is_marker_for)","AllianceGenome",0.0167,1,0.0345,0.286,1,5,"IDO1"
"DOID:12206","DOID:12206 (is_marker_for)","dengue hemorrhagic fever (is_marker_for)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"CD1D"
"DOID:2723","DOID:2723 (is_implicated_in)","dermatitis (is_implicated_in)","AllianceGenome",0.02,1,0.039,0.322,1,6,"TNF"
"DOID:8505","DOID:8505 (is_implicated_in)","dermatitis herpetiformis (is_implicated_in)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"TNF"
"C0162820","C0162820","Dermatitis, Allergic Contact","DisGeNET Curated",7.77e-05,0.171,0.000919,0.0076,4,67,"IFNG,CCR2,CD3D,TNF"
"C0011615","C0011615","Dermatitis, Atopic","DisGeNET Curated",6.47e-06,0.0142,0.000156,0.00129,4,36,"CXCL10,IFNG,CCL5,CCR5"
"C0037274","C0037274","Dermatologic disorders","DisGeNET Curated",0.0264,1,0.0474,0.392,2,75,"CCL4,TNF"
"DOID:10223","DOID:10223 (is_marker_for)","dermatomyositis (is_marker_for)","AllianceGenome",0.00147,1,0.00929,0.0769,2,17,"IFNG,CCR2"
"C0263666","C0263666","Dermatomyositis, Childhood Type","DisGeNET Curated",0.02,1,0.039,0.322,1,6,"TNF"
"EFO_0020321","EFO_0020321","desmoglein-1 measurement","GWAS",0.0265,1,0.0474,0.392,1,8,"CXCL10"
"C0011853","C0011853","Diabetes Mellitus, Experimental","DisGeNET Curated",0.0058,1,0.0185,0.153,3,108,"NCF1,IFNG,TNF"
"C0011854","C0011854","Diabetes Mellitus, Insulin-Dependent","DisGeNET Curated",0.000469,1,0.00384,0.0317,3,45,"IFNG,CD69,TNF"
"C1832392","C1832392","DIABETES MELLITUS, INSULIN-DEPENDENT, 12","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"CTLA4"
"C2675864","C2675864","DIABETES MELLITUS, INSULIN-DEPENDENT, 22 (disorder)","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"CCR5"
"C3837958","C3837958","Diabetes Mellitus, Ketosis-Prone","DisGeNET Curated",0.000439,0.966,0.0036,0.0298,3,44,"IFNG,CD69,TNF"
"C4554117","C4554117","Diabetes Mellitus, Sudden-Onset","DisGeNET Curated",0.000439,0.966,0.0036,0.0298,3,44,"IFNG,CD69,TNF"
"C0205734","C0205734","Diabetes, Autoimmune","DisGeNET Curated",0.000439,0.966,0.0036,0.0298,3,44,"IFNG,CD69,TNF"
"DOID:9743","DOID:9743 (is_marker_for)","diabetic neuropathy (is_marker_for)","AllianceGenome",0.0265,1,0.0474,0.392,1,8,"CCL5"
"DOID:8947","DOID:8947 (is_marker_for)","diabetic retinopathy (is_marker_for)","AllianceGenome",0.000803,1,0.00599,0.0496,3,54,"CXCL10,CCL5,TNF"
"EFO_0000403","EFO_0000403","diffuse large B-cell lymphoma","GWAS",0.000988,1,0.0069,0.0571,2,14,"IRF4,CD86"
"DOID:12930","DOID:12930 (is_marker_for)","dilated cardiomyopathy (is_marker_for)","AllianceGenome",0.00762,1,0.0208,0.172,2,39,"IRF4,TNF"
"DOID:0110429","DOID:0110429 (is_marker_for)","dilated cardiomyopathy 1H (is_marker_for)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"TNF"
"MONDO_0020592","MONDO_0020592","disorder of pharynx","GWAS",0.000501,1,0.00399,0.033,3,46,"IKZF1,ITGAL,IL7R"
"C2939186","C2939186","Disturbance in mood","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"IFNG"
"C0013182","C0013182","Drug Allergy","DisGeNET Curated",0.000222,0.488,0.00206,0.017,3,35,"FASLG,GZMB,TNF"
"C0011609","C0011609","Drug Eruptions","DisGeNET Curated",0.00269,1,0.0113,0.0932,2,23,"IFNG,TNF"
"DOID:10140","DOID:10140 (is_marker_for)","dry eye syndrome (is_marker_for)","AllianceGenome",0.000493,1,0.00396,0.0327,2,10,"CCL4,CCR5"
"C3830362","C3830362","Early Pregnancy Loss","DisGeNET Curated",0.00595,1,0.0185,0.153,3,109,"CXCL10,CD8A,CD69"
"EFO_0020343","EFO_0020343","ectonucleoside triphosphate diphosphohydrolase 3 measurement","GWAS",0.0233,1,0.0436,0.361,1,7,"CXCL10"
"HP_0000964","HP_0000964","Eczema","GWAS",9.68e-08,0.000213,4.26e-06,3.52e-05,10,310,"TBX21,IRF1,IKZF1,FASLG,SLAMF1,CD247,CD6,PTPRC,CCR7,IL7R"
"DOID:9123","DOID:9123 (is_marker_for)","eczema herpeticum (is_marker_for)","AllianceGenome",1.11e-05,0.0245,0.000211,0.00175,2,2,"IDO1,IFNG"
"EFO_0005854, HP_0000964","EFO_0005854, HP_0000964","Eczema, allergic rhinitis","GWAS",0.000805,1,0.00599,0.0496,5,215,"IRF1,CD247,CD6,CCR7,IL7R"
"C0086196","C0086196","Eczema, Infantile","DisGeNET Curated",6.47e-06,0.0142,0.000156,0.00129,4,36,"CXCL10,IFNG,CCL5,CCR5"
"DOID:9588","DOID:9588 (biomarker_via_orthology)","encephalitis (biomarker_via_orthology)","AllianceGenome",0.000395,0.869,0.0033,0.0273,2,9,"CXCL10,TNF"
"C0751583","C0751583","Encephalitis, West Nile Fever","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"CCR5"
"DOID:783","DOID:783 (biomarker_via_orthology)","end stage renal disease (biomarker_via_orthology)","AllianceGenome",0.0109,1,0.0265,0.22,2,47,"CCL5,CCR5"
"DOID:2870","DOID:2870 (implicated_via_orthology)","endometrial adenocarcinoma (implicated_via_orthology)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"IRF1"
"DOID:289","DOID:289 (biomarker_via_orthology)","endometriosis (biomarker_via_orthology)","AllianceGenome",2.1e-07,0.000463,7.98e-06,6.6e-05,4,16,"SELL,CCL5,TNF,VAV1"
"DOID:4692","DOID:4692 (biomarker_via_orthology)","endophthalmitis (biomarker_via_orthology)","AllianceGenome",0.000111,0.243,0.00116,0.00959,2,5,"IFNG,TNF"
"C0036981","C0036981","Endotoxic shock","DisGeNET Curated",0.02,1,0.039,0.322,1,6,"TNF"
"C4316791","C4316791","Entamoeba histolytica Infection","DisGeNET Curated",0.02,1,0.039,0.322,1,6,"IFNG"
"C0014324","C0014324","Entamoebiasis","DisGeNET Curated",0.02,1,0.039,0.322,1,6,"IFNG"
"EFO_0004842","EFO_0004842","eosinophil count","GWAS",1.5e-11,3.29e-08,2.35e-09,1.94e-08,25,1488,"SELL,CD52,TBX21,PSMB9,POU2AF1,IRF1,IRF4,IKZF1,BTLA,LCP2,SLAMF1,ZAP70,STAT1,ITK,STAT4,SLAMF6,CD247,CD5,PTPRC,RASAL3,CXCR4,CD86,CCR7,IL2RB,IL7R"
"EFO_0007996","EFO_0007996","eosinophil percentage of granulocytes","GWAS",0.000141,0.311,0.00142,0.0117,6,234,"IRF1,IRF4,IKZF1,PTPRC,CCR7,IL7R"
"EFO_0007991","EFO_0007991","eosinophil percentage of leukocytes","GWAS",4.7e-10,1.03e-06,4.31e-08,3.56e-07,17,746,"SELL,POU2AF1,IRF1,IRF4,IKZF1,BTLA,LCP2,SLAMF1,CD247,CD5,PTPRC,CXCR4,CD86,CD69,CCR7,IL2RB,IL7R"
"DOID:9402","DOID:9402 (biomarker_via_orthology)","epididymitis (biomarker_via_orthology)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"TNF"
"EFO_0007790, MONDO_0005301","EFO_0007790, MONDO_0005301","Epstein Barr virus nuclear antigen 1 IgG measurement, multiple sclerosis","GWAS",0.0134,1,0.0297,0.245,1,4,"CD86"
"EFO_0801582","EFO_0801582","ERO1-like protein alpha measurement","GWAS",0.02,1,0.039,0.322,1,6,"CXCL10"
"DOID:0050185","DOID:0050185 (is_marker_for)","erythema multiforme (is_marker_for)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"CD8A"
"DOID:0080750","DOID:0080750 (is_implicated_in)","erythema nodosum (is_implicated_in)","AllianceGenome",0.0167,1,0.0345,0.286,1,5,"TNF"
"DOID:11963","DOID:11963 (is_implicated_in)","esophagitis (is_implicated_in)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"TNF"
"DOID:3748","DOID:3748 (is_marker_for)","esophagus squamous cell carcinoma (is_marker_for)","AllianceGenome",0.0257,1,0.0474,0.392,2,74,"PSMB9,CXCR4"
"C0887898","C0887898","Experimental Lung Inflammation","DisGeNET Curated",6.01e-10,1.32e-06,4.72e-08,3.9e-07,7,54,"CASP1,IFNG,CCR2,CXCL9,CCL4,TNF,IL2RB"
"DOID:0050909","DOID:0050909 (is_marker_for)","extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue (is_marker_for)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"CXCR4"
"DOID:841","DOID:841 (is_marker_for)","extrinsic allergic alveolitis (is_marker_for)","AllianceGenome",1.3e-05,0.0286,0.000236,0.00195,3,14,"CXCL10,CXCL9,CCL5"
"DOID:5614","DOID:5614 (is_marker_for)","eye disease (is_marker_for)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"TNF"
"C0015423","C0015423","Eyelid Diseases","DisGeNET Curated",0.0067,1,0.0185,0.153,1,2,"IFNG"
"DOID:1962","DOID:1962 (is_implicated_in)","fallopian tube disease (is_implicated_in)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"CCR5"
"DOID:0060761","DOID:0060761 (implicated_via_orthology)","familial chronic myelocytic leukemia-like syndrome (implicated_via_orthology)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"IRF8"
"C3489728","C3489728","Familial intrahepatic cholestasis of pregnancy","DisGeNET Curated",0.0134,1,0.0297,0.245,1,4,"TNF"
"DOID:13636","DOID:13636 (is_marker_for)","Fanconi anemia (is_marker_for)","AllianceGenome",3.65e-07,0.000802,1.27e-05,0.000105,3,5,"IFNG,PRF1,TNF"
"DOID:14453","DOID:14453 (is_implicated_in)","farmer's lung (is_implicated_in)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"TNF"
"DOID:9452","DOID:9452 (is_marker_for)","fatty liver disease (is_marker_for)","AllianceGenome",0.00147,1,0.00929,0.0769,2,17,"CXCL10,CCL5"
"EFO_0004747, EFO_0007959, EFO_0008057","EFO_0004747, EFO_0007959, EFO_0008057","fetal genotype effect measurement, protein measurement, C-X-C motif chemokine 11 measurement","GWAS",0.0067,1,0.0185,0.153,1,2,"CXCL10"
"C0015967","C0015967","Fever","DisGeNET Curated",0.0037,1,0.0123,0.102,2,27,"IFNG,TNF"
"C0079218","C0079218","Fibromatosis, Aggressive","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"TNF"
"C0265319","C0265319","Fibrous skin tumor of tuberous sclerosis","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"IFNG"
"DOID:0050873","DOID:0050873 (is_marker_for)","follicular lymphoma (is_marker_for)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"IRF4"
"MONDO_0005301, MONDO_0018906","MONDO_0005301, MONDO_0018906","follicular lymphoma, multiple sclerosis","GWAS",0.01,1,0.0246,0.203,1,3,"PLEK"
"EFO_0003784, EFO_0003963","EFO_0003784, EFO_0003963","freckles, skin pigmentation","GWAS",0.0134,1,0.0297,0.245,1,4,"IRF4"
"DOID:1564","DOID:1564 (is_marker_for)","fungal infectious disease (is_marker_for)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"CCR2"
"DOID:4029","DOID:4029 (is_implicated_in)","gastritis (is_implicated_in)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"NOD2"
"C2930967","C2930967","Gastro-enteropancreatic neuroendocrine tumor","DisGeNET Curated",1.12e-09,2.47e-06,7.96e-08,6.59e-07,5,15,"IKZF1,PTPRC,CD86,CD53,IL2RB"
"DOID:1926","DOID:1926 (is_implicated_in)","Gaucher's disease (is_implicated_in)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"TNF"
"C0263372","C0263372","Gianotti-Crosti Syndrome","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"PSMB9"
"C0017658","C0017658","Glomerulonephritis","DisGeNET Curated",3.5e-06,0.00769,9.62e-05,0.000796,4,31,"IFNG,CCL4,CCL5,TNF"
"EFO_0009942","EFO_0009942","Glucocorticoid use measurement","GWAS",0.00762,1,0.0208,0.172,2,39,"CD247,IL7R"
"DOID:2862","DOID:2862 (is_implicated_in)","glucosephosphate dehydrogenase deficiency (is_implicated_in)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"IFNG"
"DOID:0081267","DOID:0081267 (is_implicated_in)","graft-versus-host disease (is_implicated_in)","AllianceGenome",2.74e-07,0.000603,9.89e-06,8.18e-05,4,17,"NOD2,IFNG,FCGR3A,CTLA4"
"C0018133","C0018133","Graft-vs-Host Disease","DisGeNET Curated",0.000166,0.364,0.0016,0.0132,2,6,"IFNG,CTLA4"
"C0311335","C0311335","Grand Mal Status Epilepticus","DisGeNET Curated",7.77e-05,0.171,0.000919,0.0076,4,67,"CASP1,CCR2,TNF,CCR7"
"EFO_0007997","EFO_0007997","granulocyte percentage of myeloid white cells","GWAS",3.45e-05,0.0758,0.000486,0.00402,7,268,"IRF8,IKZF1,CCR2,CXCR4,TNFSF13B,CCR5,KLRC1"
"DOID:12132","DOID:12132 (is_implicated_in)","granulomatosis with polyangiitis (is_implicated_in)","AllianceGenome",0.000111,0.243,0.00116,0.00959,2,5,"CCR5,CTLA4"
"C0376407","C0376407","Granulomatous Slack Skin","DisGeNET Curated",0.00246,1,0.0113,0.0932,2,22,"IRF4,CTLA4"
"EFO_0020418","EFO_0020418","granzyme b measurement","GWAS",6.66e-05,0.146,0.000822,0.0068,2,4,"GZMH,GZMB"
"EFO_0004237","EFO_0004237","Graves disease","GWAS",0.000163,0.358,0.0016,0.0132,4,81,"STAT4,SLAMF6,ICOS,CTLA4"
"DOID:0081120","DOID:0081120 (is_marker_for)","Graves ophthalmopathy (is_marker_for)","AllianceGenome",1.02e-05,0.0225,0.000211,0.00175,3,13,"IFNG,TNF,CTLA4"
"DOID:12361","DOID:12361 (is_implicated_in)","Graves' disease (is_implicated_in)","AllianceGenome",0.000307,0.674,0.00267,0.0221,3,39,"IFNG,TNF,CTLA4"
"EFO_0802580","EFO_0802580","GRB2-related adapter protein measurement","GWAS",0.01,1,0.0246,0.203,1,3,"LCP2"
"DOID:12842","DOID:12842 (implicated_via_orthology)","Guillain-Barre syndrome (implicated_via_orthology)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"CD86"
"DOID:11266","DOID:11266 (is_marker_for)","Hantavirus hemorrhagic fever with renal syndrome (is_marker_for)","AllianceGenome",0.0265,1,0.0474,0.392,1,8,"IFNG"
"C0677607","C0677607","Hashimoto Disease","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"CTLA4"
"140300","140300","HASHIMOTO THYROIDITIS","OMIM MedGen",0.00336,1,0.0113,0.0932,1,1,"CTLA4"
"EFO_0003779","EFO_0003779","Hashimoto's thyroiditis","GWAS",9.01e-05,0.198,0.00103,0.00853,3,26,"STAT4,CD69,CTLA4"
"DOID:4079","DOID:4079 (implicated_via_orthology)","heart valve disease (implicated_via_orthology)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"TNF"
"DOID:13133","DOID:13133 (biomarker_via_orthology)","HELLP syndrome (biomarker_via_orthology)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"FASLG"
"DOID:5241","DOID:5241 (is_marker_for)","hemangioblastoma (is_marker_for)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"CXCR4"
"DOID:2352","DOID:2352 (is_implicated_in)","hemochromatosis (is_implicated_in)","AllianceGenome",0.02,1,0.039,0.322,1,6,"TNF"
"DOID:11123","DOID:11123 (is_implicated_in)","Henoch-Schoenlein purpura (is_implicated_in)","AllianceGenome",0.0265,1,0.0474,0.392,1,8,"CD86"
"C0019158","C0019158","Hepatitis","DisGeNET Curated",1.62e-05,0.0356,0.000274,0.00227,3,15,"FASLG,IFNG,GZMB"
"DOID:12549","DOID:12549 (is_marker_for)","hepatitis A (is_marker_for)","AllianceGenome",3.34e-05,0.0734,0.000473,0.00392,2,3,"TNF,CTLA4"
"DOID:2043","DOID:2043 (is_implicated_in)","hepatitis B (is_implicated_in)","AllianceGenome",1.54e-07,0.000338,6.14e-06,5.08e-05,5,37,"CXCL10,CCL5,CCR5,TNF,CTLA4"
"DOID:1883","DOID:1883 (is_marker_for)","hepatitis C (is_marker_for)","AllianceGenome",1.15e-07,0.000253,4.96e-06,4.1e-05,5,35,"CXCL10,STAT1,IFNG,KLRK1,KLRC1"
"CV:C1835407","cv:C1835407","Hepatitis C virus, susceptibility to","Clinical Variations",3.34e-05,0.0734,0.000473,0.00392,2,3,"IFNG,CCR5"
"C0019187","C0019187","Hepatitis, Alcoholic","DisGeNET Curated",0.000111,0.243,0.00116,0.00959,2,5,"CCL5,TNF"
"DOID:684","DOID:684 (is_implicated_in)","hepatocellular carcinoma (is_implicated_in)","AllianceGenome",0.000369,0.811,0.00316,0.0261,5,181,"BIRC3,STAT4,CCL5,TNF,CTLA4"
"DOID:900","DOID:900 (implicated_via_orthology)","hepatopulmonary syndrome (implicated_via_orthology)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"TNF"
"DOID:11823","DOID:11823 (biomarker_via_orthology)","hepatorenal syndrome (biomarker_via_orthology)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"TNF"
"C1708349","C1708349","Hereditary Diffuse Gastric Cancer","DisGeNET Curated",0.0172,1,0.0355,0.294,4,293,"TNFRSF9,IRF1,CST7,TNF"
"DOID:1270","DOID:1270 (is_marker_for)","hereditary hemorrhagic telangiectasia (is_marker_for)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"TNF"
"DOID:3753","DOID:3753 (is_marker_for)","Hermansky-Pudlak syndrome (is_marker_for)","AllianceGenome",1.11e-05,0.0245,0.000211,0.00175,2,2,"CXCR4,CCL5"
"DOID:8536","DOID:8536 (is_marker_for)","herpes zoster (is_marker_for)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"TNF"
"EFO_0021939","EFO_0021939","hexokinase-1 measurement","GWAS",0.01,1,0.0246,0.203,1,3,"CXCL10"
"C0376416","C0376416","Hibernation, Myocardial","DisGeNET Curated",0.0134,1,0.0297,0.245,1,4,"TNF"
"DOID:2280","DOID:2280 (is_implicated_in)","hidradenitis suppurativa (is_implicated_in)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"TNF"
"EFO_0020451","EFO_0020451","histone acetyltransferase kat6a measurement","GWAS",0.01,1,0.0246,0.203,1,3,"CXCL10"
"C0343755","C0343755","HIV Wasting Syndrome","DisGeNET Curated",0.0134,1,0.0297,0.245,1,4,"TNF"
"EFO_0000183, EFO_0001378, EFO_0005952","EFO_0000183, EFO_0001378, EFO_0005952","Hodgkins lymphoma, multiple myeloma, non-Hodgkins lymphoma","GWAS",0.000113,0.248,0.00116,0.0096,3,28,"IRF8,IRF4,CD86"
"DOID:526","DOID:526 (is_implicated_in)","human immunodeficiency virus infectious disease (is_implicated_in)","AllianceGenome",3.65e-09,8.03e-06,2.43e-07,2.01e-06,6,39,"IFNG,CCR2,FCGR3A,PRF1,CCL5,CCR5"
"DOID:12858","DOID:12858 (is_marker_for)","Huntington's disease (is_marker_for)","AllianceGenome",0.0137,1,0.0304,0.252,2,53,"PSMB9,FASLG"
"C2936739","C2936739","Hyper-Immunoglobulin E Syndrome, Autosomal Dominant","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"IFNG"
"C1968689","C1968689","Hyper-Immunoglobulin E Syndrome, Autosomal Recessive","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"IFNG"
"C0020433","C0020433","Hyperbilirubinemia","DisGeNET Curated",0.0134,1,0.0297,0.245,1,4,"TNF"
"C0598608","C0598608","Hyperhomocysteinemia","DisGeNET Curated",0.000601,1,0.0046,0.0381,2,11,"CASP1,TNF"
